,Crime Type,Year,Latitude (D.C.),Longitude (D.C.)
112,theft f/auto,2018,38.927470136945,-77.0245183800325
113,burglary,2018,38.8983423536826,-76.92446902706759
114,theft/other,2018,38.8897761049759,-76.9413990624417
115,theft f/auto,2018,38.957659022219296,-77.010337616633
116,theft f/auto,2018,38.9173939826482,-77.041649989774
117,motor vehicle theft,2018,38.8433962985688,-76.9833204117869
118,theft f/auto,2018,38.920676970871206,-77.0284598297306
119,theft f/auto,2018,38.9103785045859,-77.0355465911089
120,theft/other,2018,38.905654568710396,-77.04578208474301
121,motor vehicle theft,2018,38.8685625898449,-76.9677813709717
122,theft/other,2018,38.8791058457807,-76.984591319348
123,theft/other,2018,38.922423976679795,-77.0308591451836
124,theft/other,2018,38.9102290777118,-77.0678646808022
125,theft/other,2018,38.8998135506047,-77.02886651989759
126,sex abuse,2018,38.9041572724165,-77.0209133607893
127,theft f/auto,2018,38.860310329559105,-76.96583791471281
128,theft f/auto,2018,38.8961142308048,-77.01024800522109
129,motor vehicle theft,2018,38.8914650081376,-76.98221412636741
130,theft f/auto,2018,38.8433962985688,-76.9833204117869
131,theft f/auto,2018,38.985580634288205,-77.0319945355598
132,theft/other,2018,38.920324765085795,-77.0318730069687
133,theft f/auto,2018,38.9155700251451,-77.02506776302658
134,theft f/auto,2018,38.933710882745295,-77.03273248053421
135,motor vehicle theft,2018,38.8672588504845,-76.9785789211286
136,burglary,2018,38.8932764129725,-76.9525429009754
137,motor vehicle theft,2018,38.8674184355254,-76.9437680988197
138,robbery,2018,38.917550178367,-77.0319524841605
139,theft f/auto,2018,38.906098165338996,-77.0398102543808
140,theft/other,2018,38.9181040477577,-77.0013030164843
141,theft/other,2018,38.9222116506408,-76.9931501205792
142,theft/other,2018,38.860310329559105,-76.96583791471281
143,theft f/auto,2018,38.8886627112104,-76.9781344930817
144,theft/other,2018,38.857441564352996,-76.99578319716609
145,theft f/auto,2018,38.9059988310861,-77.0612083276307
146,theft/other,2018,38.933725126445395,-77.0441969318805
147,theft/other,2018,38.860310329559105,-76.96583791471281
148,motor vehicle theft,2018,38.96897036307529,-77.02852527318059
149,theft f/auto,2018,38.953090411714605,-77.0209507909628
150,theft f/auto,2018,38.908133400187396,-77.0416791707161
151,theft/other,2018,38.933480969842,-76.9919034084643
152,theft f/auto,2018,38.957389193794796,-77.00296513104
153,theft/other,2018,38.895980797778,-77.0425942741963
154,theft/other,2018,38.876476411308495,-77.0000576219626
155,theft f/auto,2018,38.9152511854437,-77.03817800998179
156,theft/other,2018,38.9174272275175,-77.0167660884831
157,theft f/auto,2018,38.898308663002794,-77.0307910736005
158,theft/other,2018,38.9565232064712,-77.01697141942209
159,theft/other,2018,38.9064303563484,-77.062857378507
160,theft/other,2018,38.923254670792495,-77.0223950513847
161,theft/other,2018,38.9321059255281,-77.0376449655886
162,theft/other,2018,38.909641975495894,-77.0275676356877
163,theft/other,2018,38.9233702999658,-77.05433865005409
164,theft/other,2018,38.957477399287896,-77.0211597552716
165,theft/other,2018,38.8973307785423,-76.9973140315728
166,theft/other,2018,38.8963172690411,-77.0327960161985
167,motor vehicle theft,2018,38.89196544521071,-76.91298345991791
168,burglary,2018,38.9373412271747,-77.0327341472307
169,theft f/auto,2018,38.909401976873205,-76.9975557009568
170,robbery,2018,38.8791410041036,-76.9318076167638
171,theft/other,2018,38.9060417408735,-77.0058914055214
172,theft f/auto,2018,38.965540310528496,-77.01803513581041
173,theft f/auto,2018,38.9075631154535,-77.04880401696029
174,motor vehicle theft,2018,38.933339305248296,-77.0399292664691
175,theft f/auto,2018,38.9175516538645,-77.0260024730335
176,theft f/auto,2018,38.9539716281475,-77.0708828539837
177,motor vehicle theft,2018,38.929150454843295,-76.9601076779148
178,theft f/auto,2018,38.930886796061394,-76.9961825152532
179,motor vehicle theft,2018,38.899021184656704,-76.92959828537509
180,robbery,2018,38.9111247304104,-77.0400782498527
181,burglary,2018,38.909635482078,-77.0477216383045
182,theft f/auto,2018,38.957015157560896,-77.07293954107409
183,theft/other,2018,38.924508768164294,-76.9930807069925
184,motor vehicle theft,2018,38.9257389920058,-77.0310335650921
185,burglary,2018,38.9013521291014,-77.0355766783444
186,theft/other,2018,38.9162194455656,-77.06817018235179
187,theft f/auto,2018,38.9080237161488,-76.9985011663422
188,theft f/auto,2018,38.9692772885443,-77.02574440063171
189,theft/other,2018,38.9071750139954,-77.03652994728209
190,assault w/dangerous weapon,2018,38.868781351012295,-76.9790163438475
191,theft f/auto,2018,38.8875632776612,-77.0239629354107
192,motor vehicle theft,2018,38.9551426274755,-77.02879663009091
193,robbery,2018,38.9686297251581,-77.0205399446463
194,theft/other,2018,38.9031434735571,-77.0396702609364
195,motor vehicle theft,2018,38.9034699923119,-76.9274380169426
196,theft f/auto,2018,38.908563489327896,-77.0477209210726
197,theft/other,2018,38.921581102295704,-76.9937613602702
198,theft f/auto,2018,38.909401976873205,-76.9975557009568
199,theft/other,2018,38.9367058593345,-76.9907957659657
200,theft f/auto,2018,38.9314451685733,-76.9930800338777
201,theft/other,2018,38.9100052108419,-77.00905090084929
202,motor vehicle theft,2018,38.83971302477829,-76.9984565265869
203,theft/other,2018,38.85805035568539,-76.9699867069184
204,theft/other,2018,38.9295130123787,-77.0327305534988
205,theft/other,2018,38.8794664793673,-76.93384720922029
206,theft f/auto,2018,38.9091276081226,-77.0311185748451
207,theft f/auto,2018,38.8794732425857,-77.02379103337971
208,theft/other,2018,38.9001954371661,-76.9973139237093
209,theft f/auto,2018,38.9038914343415,-77.060134338629
210,theft/other,2018,38.927470136945,-77.0245183800325
211,theft f/auto,2018,38.9473087275006,-77.0653505583079
212,robbery,2018,38.932364137126896,-76.99558269802979
213,motor vehicle theft,2018,38.9676020834692,-77.02420909135999
214,motor vehicle theft,2018,38.9186407998006,-77.0296236690368
215,theft f/auto,2018,38.903892472581,-77.0580822087716
216,motor vehicle theft,2018,38.9457591454181,-76.990240888622
217,robbery,2018,38.9126040543215,-77.03389887729101
218,theft/other,2018,38.9350795583389,-76.9652369307893
219,theft f/auto,2018,38.8764672063314,-76.9932236580677
220,assault w/dangerous weapon,2018,38.8738002819356,-77.0121808261142
221,theft/other,2018,38.9326131397482,-76.9721697466354
222,theft f/auto,2018,38.92236247410771,-76.97573707586041
223,theft f/auto,2018,38.9148227693736,-77.022945871964
224,theft f/auto,2018,38.9162803134165,-77.03079883271229
225,motor vehicle theft,2018,38.9175516538645,-77.0260024730335
226,theft/other,2018,38.9016901049711,-77.04775090825609
227,motor vehicle theft,2018,38.9196444780725,-76.99952721389529
228,theft f/auto,2018,38.9503710524384,-77.080569801707
229,theft/other,2018,38.860310329559105,-76.96583791471281
230,theft/other,2018,38.8791058457807,-76.984591319348
231,theft/other,2018,38.9137196665285,-77.03848851126929
232,theft f/auto,2018,38.9369189573204,-77.0284547788969
233,theft f/auto,2018,38.9661325927861,-77.0292280096915
234,theft/other,2018,38.9682669406129,-77.03155981083091
235,theft f/auto,2018,38.918254622628005,-77.02452674289471
236,robbery,2018,38.8494126838479,-76.9761074712117
237,theft/other,2018,38.941822930897295,-77.00054214291859
238,theft/other,2018,38.91699197458279,-77.03078760910691
239,theft f/auto,2018,38.9084840830111,-77.0434433991342
240,robbery,2018,38.916480403313706,-77.0224275167194
241,robbery,2018,38.908379324755,-77.03326274428441
242,theft/other,2018,38.9295130123787,-77.0327305534988
243,theft/other,2018,38.921581102295704,-76.9937613602702
244,theft/other,2018,38.9029066758956,-76.9915264329792
245,theft/other,2018,38.8990587183587,-77.0199089264845
246,theft/other,2018,38.887563862297704,-77.0209200230919
247,theft/other,2018,38.876988899088204,-77.0152123074463
248,theft f/auto,2018,38.9324900500052,-76.9918112534198
249,theft/other,2018,38.9064303563484,-77.062857378507
250,theft/other,2018,38.905150551445,-77.06399762448541
251,theft/other,2018,38.8825386514268,-76.9902495355631
252,theft/other,2018,38.8642782352676,-76.98636897371709
253,theft f/auto,2018,38.9077424392404,-77.06843878723241
254,theft/other,2018,38.9348242806608,-77.05808053269729
255,motor vehicle theft,2018,38.9637646605201,-77.0237693245797
256,theft f/auto,2018,38.9222901774487,-77.0253468884268
257,theft/other,2018,38.9064303563484,-77.062857378507
258,theft/other,2018,38.900665418847204,-76.9379085693912
259,theft/other,2018,38.9060417408735,-77.0058914055214
260,theft/other,2018,38.897195382533795,-77.00839219444741
261,theft/other,2018,38.941822930897295,-77.00054214291859
262,theft f/auto,2018,38.907898242133896,-77.044238575792
263,theft f/auto,2018,38.9080237161488,-76.9985011663422
264,theft/other,2018,38.9001954371661,-76.9973139237093
265,assault w/dangerous weapon,2018,38.8336498975861,-76.9897839950339
266,theft/other,2018,38.9051969682966,-77.0408588934901
267,theft/other,2018,38.871386030314795,-77.0121804140333
268,theft/other,2018,38.8441091433786,-76.9981914906886
269,burglary,2018,38.8530148032554,-76.97061093685059
270,theft/other,2018,38.9051883564576,-77.0606772965942
271,assault w/dangerous weapon,2018,38.9118634655159,-77.03992877351999
272,theft/other,2018,38.9295130123787,-77.0327305534988
273,theft f/auto,2018,38.92704480589921,-77.03247570412421
274,theft/other,2018,38.9001954371661,-76.9973139237093
275,theft/other,2018,38.8832235876387,-76.994974889719
276,theft/other,2018,38.9099274291219,-77.04360696372791
277,theft/other,2018,38.8996082789733,-76.9803906515132
278,theft f/auto,2018,38.9202002788807,-77.0251962366598
279,theft/other,2018,38.9201485438164,-76.99031358205441
280,theft f/auto,2018,38.9096359586252,-77.0078056409558
281,theft f/auto,2018,38.902523988241605,-77.028853667144
282,theft f/auto,2018,38.9741841327786,-77.0582087429448
283,theft/other,2018,38.918977829800795,-77.0027790338082
284,theft/other,2018,38.9039670503268,-76.9472094662743
285,motor vehicle theft,2018,38.8984823320057,-76.9503375993889
286,robbery,2018,38.9076427724206,-77.0090530222517
287,theft/other,2018,38.894312999564,-77.00132563649291
288,robbery,2018,38.8828358433266,-76.98928135969359
289,theft/other,2018,38.9162194455656,-77.06817018235179
290,theft f/auto,2018,38.931607075232,-76.9897699601751
291,theft/other,2018,38.8951056347622,-76.99496252535499
292,theft f/auto,2018,38.977978532923004,-77.02878277715901
293,assault w/dangerous weapon,2018,38.9054281339075,-76.9833404935689
294,theft f/auto,2018,38.9212817635688,-76.9771673661107
295,theft f/auto,2018,38.9544516018034,-77.0147904332643
296,theft/other,2018,38.8951056347622,-76.99496252535499
297,theft/other,2018,38.9619710920902,-77.0279570992068
298,theft/other,2018,38.9199218175591,-76.95269041467459
299,theft f/auto,2018,38.905635929975,-77.01167898209731
300,theft f/auto,2018,38.9472816396474,-76.99145194329391
301,theft/other,2018,38.877862371248,-77.0176441877483
302,theft/other,2018,38.905654568710396,-77.04578208474301
303,theft f/auto,2018,38.9222901774487,-77.0253468884268
304,theft f/auto,2018,38.944522480074,-77.02620841215291
305,theft/other,2018,38.9560469933876,-77.00126909833659
306,theft/other,2018,38.9159129746927,-77.0219199846024
307,theft f/auto,2018,38.8731935018333,-76.97000338575779
308,theft/other,2018,38.8523955812541,-76.9823160250475
309,theft f/auto,2018,38.9234342615989,-76.97477955671609
310,theft f/auto,2018,38.915569461566,-77.02756992690009
311,assault w/dangerous weapon,2018,38.9013324816036,-77.0405799981317
312,theft f/auto,2018,38.9072364357503,-77.0288579946113
313,theft/other,2018,38.962636267172996,-77.0334265261424
314,robbery,2018,38.897195382533795,-77.00839219444741
315,assault w/dangerous weapon,2018,38.9107488824377,-77.0319609671622
316,theft f/auto,2018,38.8651523885701,-76.98965273752421
317,motor vehicle theft,2018,38.917002648746,-77.0516124957743
318,theft/other,2018,38.9408295248047,-77.0241538609842
319,theft/other,2018,38.891990611683,-76.9588604974715
320,theft f/auto,2018,38.9287968441476,-77.0044978109195
321,theft f/auto,2018,38.9135621605858,-77.01990144466791
322,theft f/auto,2018,38.9007534942615,-76.9892786673888
323,theft f/auto,2018,38.8996559767148,-76.9369641405546
324,motor vehicle theft,2018,38.938144962308996,-77.0245912572209
325,theft/other,2018,38.9031434735571,-77.0396702609364
326,theft/other,2018,38.908563738670296,-77.0106763882957
327,theft/other,2018,38.9042332670755,-77.0403049553193
328,theft f/auto,2018,38.91037917681479,-77.0332636769359
329,theft f/auto,2018,38.9155703579947,-77.0234649944424
330,robbery,2018,38.93071252046779,-77.02726438675471
331,robbery,2018,38.941388205113796,-77.0233350733747
332,theft/other,2018,38.933339305248296,-77.0399292664691
333,theft f/auto,2018,38.9162803134165,-77.03079883271229
334,theft f/auto,2018,38.8748819247979,-76.9997464690297
335,theft f/auto,2018,38.8990570395245,-77.0280823069806
336,theft f/auto,2018,38.8945798398373,-76.9292337940471
337,theft f/auto,2018,38.9096392041323,-77.0375178102066
338,theft f/auto,2018,38.9204517683791,-76.9715633231418
339,theft f/auto,2018,38.925019947375496,-77.0241715704377
340,theft f/auto,2018,38.924083216442206,-77.0235139239853
341,theft/other,2018,38.9005150923764,-76.94345380220649
342,motor vehicle theft,2018,38.972052165087106,-77.069262179374
343,theft/other,2018,38.9287968441476,-77.0044978109195
344,theft f/auto,2018,38.934927508658,-77.03087609069179
345,theft/other,2018,38.938144962308996,-77.0245912572209
346,theft f/auto,2018,38.9193089155695,-77.0229588467108
347,robbery,2018,38.892425385086,-76.9136745173701
348,theft/other,2018,38.9096495011476,-77.0332633366381
349,theft f/auto,2018,38.9091040939378,-77.0121637958872
350,theft f/auto,2018,38.914082774647206,-77.0288607648082
351,theft f/auto,2018,38.9140841844652,-77.0224382936703
352,theft/other,2018,38.9121293753777,-77.0224376786796
353,robbery,2018,38.857441564352996,-76.99578319716609
354,theft/other,2018,38.9345299173892,-76.964787381483
355,motor vehicle theft,2018,38.885901953735,-76.924724240964
356,robbery,2018,38.856123193102796,-76.97259128742591
357,burglary,2018,38.8694752192276,-76.9802836986735
358,theft/other,2018,38.9201485438164,-76.99031358205441
359,theft/other,2018,38.9241442080025,-77.0321860807298
360,theft/other,2018,38.9078254892411,-77.00351648457891
361,robbery,2018,38.8971132545338,-76.982212718148
362,theft f/auto,2018,38.847781223160794,-76.9719148243885
363,theft/other,2018,38.878403915346205,-77.00826321264859
364,motor vehicle theft,2018,38.8874938063178,-76.93537274761859
365,theft/other,2018,38.89811437045321,-76.99376341252521
366,theft/other,2018,38.9051969682966,-77.0408588934901
367,theft f/auto,2018,38.920760879294704,-77.01215425260659
368,theft f/auto,2018,38.9215871483569,-77.02704179595041
369,motor vehicle theft,2018,38.843908310037705,-76.975072591155
370,theft f/auto,2018,38.923940371620105,-76.9841318811197
371,theft f/auto,2018,38.90847627400971,-77.04008829124349
372,motor vehicle theft,2018,38.8599279602724,-76.9989284799873
373,theft f/auto,2018,38.9071750139954,-77.03652994728209
374,theft f/auto,2018,38.9325662866708,-77.0346119088991
375,theft f/auto,2018,38.9129745559619,-77.0296328458292
376,assault w/dangerous weapon,2018,38.9216186302989,-77.0423674218744
377,theft f/auto,2018,38.8903672780146,-76.9961731567367
378,theft f/auto,2018,38.916453723946205,-77.0205479793206
379,theft/other,2018,38.957794590668996,-77.0017075559917
380,theft/other,2018,38.940488378239,-77.0176135477713
381,theft f/auto,2018,38.886599965761796,-77.02091974046759
382,theft/other,2018,38.8933460853051,-76.9469752559749
383,theft f/auto,2018,38.8622519387653,-76.99319044141991
384,theft/other,2018,38.913712625630396,-77.031962295304
385,robbery,2018,38.891389210102204,-76.9426195786478
386,theft f/auto,2018,38.954098111383296,-77.02693876033791
387,theft/other,2018,38.9049039473617,-77.0259863334558
388,robbery,2018,38.8985629977615,-76.97861563286808
389,theft/other,2018,38.9295130123787,-77.0327305534988
390,theft/other,2018,38.900363965657,-77.02493560864541
391,theft/other,2018,38.8798087686474,-76.98678090441979
392,theft/other,2018,38.9222116506408,-76.9931501205792
393,theft/other,2018,38.8849352872411,-77.00057628793941
394,theft/other,2018,38.9619710920902,-77.0279570992068
395,robbery,2018,38.884136733228296,-76.9411501302002
396,motor vehicle theft,2018,38.8906822258536,-76.9530979076537
397,theft/other,2018,38.9249673922177,-76.9846736673608
398,theft/other,2018,38.8731935018333,-76.97000338575779
399,theft f/auto,2018,38.8685625898449,-76.9677813709717
400,theft/other,2018,38.896726614821,-77.01217321307179
401,theft/other,2018,38.9014898199382,-76.97418783680659
402,motor vehicle theft,2018,38.901337784316205,-77.05012552501358
403,burglary,2018,38.942209482598706,-76.9862733282195
404,theft f/auto,2018,38.9605004222567,-77.0364023231207
405,theft/other,2018,38.9022029472732,-76.9820154636605
406,assault w/dangerous weapon,2018,38.8998062348766,-77.0209236133493
407,theft/other,2018,38.9060417408735,-77.0058914055214
408,theft f/auto,2018,38.92537093680521,-77.02574008151392
409,theft f/auto,2018,38.966701071787604,-77.02509728696509
410,theft/other,2018,38.8996082789733,-76.9803906515132
411,motor vehicle theft,2018,38.8737356292799,-76.977182578964
412,theft/other,2018,38.913712625630396,-77.031962295304
413,theft/other,2018,38.9297823182667,-77.0582878258792
414,theft/other,2018,38.8980508489173,-77.0121273275334
415,motor vehicle theft,2018,38.9164995013107,-77.0158203398578
416,theft/other,2018,38.9251260859594,-77.0322903142097
417,sex abuse,2018,38.8849677536906,-77.0288720393852
418,motor vehicle theft,2018,38.885348209290704,-76.9815010499585
419,motor vehicle theft,2018,38.9010420790707,-77.0063867121365
420,theft/other,2018,38.920298190223605,-77.07156433566509
421,motor vehicle theft,2018,38.8498542571874,-76.9769022099755
422,theft f/auto,2018,38.8666196363707,-76.98077996800791
423,theft/other,2018,38.9165515256135,-76.9730984838471
424,theft/other,2018,38.9096357378604,-77.0106073702577
425,theft f/auto,2018,38.8897761049759,-76.9413990624417
426,theft/other,2018,38.9201485438164,-76.99031358205441
427,theft f/auto,2018,38.916453723946205,-77.0205479793206
428,motor vehicle theft,2018,38.899057859261,-76.9306703572688
429,theft/other,2018,38.845829767972795,-76.9993088332867
430,theft f/auto,2018,38.863528433860296,-76.9739826421821
431,theft/other,2018,38.9052566974471,-77.0494711234499
432,theft f/auto,2018,38.9437480205605,-76.97494539932659
433,assault w/dangerous weapon,2018,38.866944692673705,-76.9860919159508
434,burglary,2018,38.9556743167228,-77.0279661666505
435,theft f/auto,2018,38.9205357239627,-76.9526631389814
436,theft/other,2018,38.9599074542529,-77.0852995777749
437,theft f/auto,2018,38.9082297329354,-77.0488044730839
438,robbery,2018,38.905949384923204,-76.9762153542409
439,theft f/auto,2018,38.9103626428381,-77.0275679142342
440,theft f/auto,2018,38.872954030102704,-77.0047708630061
441,theft/other,2018,38.905150551445,-77.06399762448541
442,assault w/dangerous weapon,2018,38.9232027666989,-77.0000691916628
443,theft f/auto,2018,38.9059108735121,-77.0731755111902
444,theft f/auto,2018,38.9086687641809,-77.0710107762618
445,theft f/auto,2018,38.9233702999658,-77.05433865005409
446,theft/other,2018,38.8849262700691,-76.99845554851741
447,theft f/auto,2018,38.927416396522396,-77.02299605497109
448,theft/other,2018,38.9163832093921,-77.0465269458312
449,theft f/auto,2018,38.922968305533104,-76.9924350697309
450,theft/other,2018,38.9647127093882,-77.00738474268759
451,theft f/auto,2018,38.8961141883864,-76.9892793646211
452,theft/other,2018,38.9295130123787,-77.0327305534988
453,theft f/auto,2018,38.9172828839256,-77.0181728349348
454,theft f/auto,2018,38.9287698839044,-76.9977395625471
455,theft f/auto,2018,38.9037266999894,-77.0031819474568
456,theft f/auto,2018,38.881268868442,-77.0013138689869
457,theft f/auto,2018,38.8328843235853,-76.9916038469403
458,theft f/auto,2018,38.922156648399294,-76.9512667180923
459,theft/other,2018,38.89860728622121,-76.9748344460402
460,theft f/auto,2018,38.8909348608365,-77.00131404699579
461,theft f/auto,2018,38.9091620761688,-77.0365260072142
462,theft f/auto,2018,38.9169990257176,-77.0374870891454
463,assault w/dangerous weapon,2018,38.819380588485295,-77.008912748527
464,motor vehicle theft,2018,38.930628408469296,-77.1094611030458
465,theft f/auto,2018,38.90312206399229,-77.01617476254809
466,theft f/auto,2018,38.913191266679,-77.0275459469347
467,theft f/auto,2018,38.9220378992354,-76.97444562963591
468,theft f/auto,2018,38.9279673810801,-77.0245885545865
469,burglary,2018,38.9597634921802,-77.0302753430978
470,theft f/auto,2018,38.923254670792495,-77.0223950513847
471,theft f/auto,2018,38.94931758310379,-76.9925130266579
472,theft f/auto,2018,38.9243281745338,-77.012154860625
473,theft/other,2018,38.9131373351602,-77.0270385921644
474,theft/other,2018,38.8851334424645,-76.9973260165343
475,robbery,2018,38.898357282210604,-76.9198347827734
476,theft f/auto,2018,38.939797352522994,-77.06254075785621
477,theft f/auto,2018,38.9048961324308,-77.01991055577241
478,theft/other,2018,38.898369836508,-76.94089630184901
479,theft/other,2018,38.880268837053,-76.9949866228108
480,theft/other,2018,38.8934924869431,-77.04776847561651
481,theft/other,2018,38.9295130123787,-77.0327305534988
482,robbery,2018,38.950092335677205,-77.00681794966951
483,theft f/auto,2018,38.9025842716431,-77.06195475752891
484,burglary,2018,38.9306314886036,-76.9729201745616
485,motor vehicle theft,2018,38.9163832974327,-76.9937618149552
486,sex abuse,2018,38.9200156987485,-77.0408212580122
487,theft f/auto,2018,38.907775260507,-77.0349918801312
488,theft/other,2018,38.8935900830565,-77.0229505699137
489,theft f/auto,2018,38.9172816475171,-76.97511613113191
490,motor vehicle theft,2018,38.8235965573052,-77.0088902429937
491,theft/other,2018,38.9060417408735,-77.0058914055214
492,theft/other,2018,38.902517752202,-77.0209128801097
