14,ناصر محمد عبدالله جبريل,163,1,القبة,http://results.hnec.ly/cor/ballot/1/2
15,عبدالله صالح السنوسي الكاسح,158,1,القبة,http://results.hnec.ly/cor/ballot/1/2
16,حمد سعد محمد ياسين,157,1,القبة,http://results.hnec.ly/cor/ballot/1/2
17,عبدالباسط سعيد سالم وافي,142,1,القبة,http://results.hnec.ly/cor/ballot/1/2
18,فتحي محمد ابومليحه محمد,122,1,القبة,http://results.hnec.ly/cor/ballot/1/2
19,خالد شعيب ارحيم العبيدي,117,1,القبة,http://results.hnec.ly/cor/ballot/1/2
20,توفيق عبدالسلام عبدالرواف المالح,99,1,القبة,http://results.hnec.ly/cor/ballot/1/2
21,رواش حمد عبد الرازق محمود,89,1,القبة,http://results.hnec.ly/cor/ballot/1/2
22,حماد سعد محمد اخويزيق,78,1,القبة,http://results.hnec.ly/cor/ballot/1/2
23,ابوبكر مفتاح عبدالرازق المنصوري,74,1,القبة,http://results.hnec.ly/cor/ballot/1/2
24,هاني عبدالمالك محمد مسعود,67,1,القبة,http://results.hnec.ly/cor/ballot/1/2
25,ابريك عبدالجواد محمد حسين,62,1,القبة,http://results.hnec.ly/cor/ballot/1/2
26,منصور ابراهيم سالم المشاي,51,1,القبة,http://results.hnec.ly/cor/ballot/1/2
27,محمد جبريل علي ابراهيم,32,1,القبة,http://results.hnec.ly/cor/ballot/1/2
28,عبد العزيز اشريح محمد علي,32,1,القبة,http://results.hnec.ly/cor/ballot/1/2
29,سالم عثمان سالم ادم,21,1,القبة,http://results.hnec.ly/cor/ballot/1/2
30,عطية عبدالرحمن عبدالرازق عبد ربه,7,1,القبة,http://results.hnec.ly/cor/ballot/1/2
1,منى ادم داوود الغيثي,2559,1,القبة,http://results.hnec.ly/cor/ballot/1/76
2,اميره المبروك عوض حمد,2290,1,القبة,http://results.hnec.ly/cor/ballot/1/76
3,سلمى ابراهيم وافي ادم,1591,1,القبة,http://results.hnec.ly/cor/ballot/1/76
1,نصرالدين مهنى غباشي مفتاح,567,2,شحات,http://results.hnec.ly/cor/ballot/2/4
2,المنتصر سعد عطية علي,560,2,شحات,http://results.hnec.ly/cor/ballot/2/4
3,خليل مفتاح عبدالله خليل,547,2,شحات,http://results.hnec.ly/cor/ballot/2/4
4,سعد فرج سعد علي الدويلي,510,2,شحات,http://results.hnec.ly/cor/ballot/2/4
5,مفتاح سليمان عطاياالله خليل الحاسي,432,2,شحات,http://results.hnec.ly/cor/ballot/2/4
6,فتحي عيسى فرج عبدالكريم,304,2,شحات,http://results.hnec.ly/cor/ballot/2/4
7,حسن عبدالرحيم علي موسى,295,2,شحات,http://results.hnec.ly/cor/ballot/2/4
8,عادل عبدالعزيز محمود سعيد بوعلجية,260,2,شحات,http://results.hnec.ly/cor/ballot/2/4
9,الناجي سعد عبدالله المرتضي,242,2,شحات,http://results.hnec.ly/cor/ballot/2/4
